no,major_no,name,phone
20260125,106,최서연,01016319957
20260126,108,임서준,01044413747
20260127,104,박민준,01072488833
20260128,105,임서준,01047002666
20260129,101,임지우,01015901123
20260130,107,임서연,01033234859
20260131,110,최지유,01051202312
20260132,108,강서준,01069734136
20260133,110,정민준,01059743752
20260134,108,강주원,01094605344
20260135,104,장민준,01012511961
20260136,108,강지우,01057702377
20260137,109,김도윤,01066654428
20260138,105,이도윤,01018513868
20260139,101,박예준,01094488627
20260140,109,김서연,01023426176
20260141,105,최도윤,01056184759
20260142,108,강지우,01017228065
20260143,109,김민준,01071756039
20260144,107,장서준,01043689876
20260145,110,최예준,01070691442
20260146,107,박예준,01093314392
20260147,106,박민준,01021497155
20260148,110,최예준,01028999833
20260149,102,장예준,01015416802
20260150,101,윤예준,01020968594
20260151,105,장주원,01054214863
20260152,107,윤주원,01093657965
20260153,106,이지유,01038889138
20260154,105,임민준,01025942284
20260155,102,김서준,01053232737
20260156,108,김예준,01032784332
20260157,106,최예준,01060361830
20260158,101,장예준,01081691231
20260159,102,김지유,01092626088
20260160,110,조도윤,01083332476
20260161,105,정지우,01020961380
20260162,104,박민준,01037528191
20260163,108,이지우,01073609469
20260164,104,박지유,01042009441
20260165,106,강지유,01027199743
20260166,102,정채원,01045984119
20260167,102,강지유,01027779374
20260168,105,강민준,01058381039
20260169,106,윤주원,01095053343
20260170,106,정도윤,01044673314
20260171,104,최민준,01040913751
20260172,105,강하윤,01011703716
20260173,108,정하윤,01088839562
20260174,104,임예준,01070368990
20260175,110,장채원,01076261127
20260176,103,최지우,01058498498
20260177,104,김채원,01035795970
20260178,110,임채원,01094321965
20260179,106,윤주원,01058909545
20260180,105,조민준,01015694957
20260181,108,박채원,01067109609
20260182,101,이예준,01057083937
20260183,103,이예준,01015718857
20260184,101,김지유,01066288028
20260185,110,김하윤,01069111596
20260186,110,정도윤,01064739582
20260187,107,정서연,01053128500
20260188,105,이채원,01034515201
20260189,110,최주원,01068528068
20260190,102,정서준,01050262707
20260191,101,정서연,01037388038
20260192,109,김예준,01071228895
20260193,109,정민준,01077328799
20260194,104,임서준,01094763730
20260195,103,장예준,01055992528
20260196,106,조민준,01055336559
20260197,105,정도윤,01029499996
20260198,103,윤서연,01075331484
20260199,105,장지우,01063169807
20260200,108,조지유,01055735207
